1,0,14.599,-27.258,-2.2887
2,0.0083333,14.826,-27.238,-2.2829
3,0.016667,15.038,-27.202,-2.2461
4,0.025,15.243,-27.187,-2.2359
5,0.033333,15.421,-27.181,-2.2286
6,0.041667,15.598,-27.177,-2.1631
7,0.05,15.786,-27.154,-2.0912
8,0.058333,15.978,-27.121,-2.0579
9,0.066667,16.151,-27.113,-2.0081
10,0.075,16.344,-27.08,-1.8979
11,0.083333,16.5,-27.087,-1.8168
12,0.091667,16.646,-27.083,-1.6913
13,0.1,16.817,-27.065,-1.5753
14,0.10833,16.971,-27.068,-1.4476
15,0.11667,17.104,-27.071,-1.3797
16,0.125,17.237,-27.043,-1.326
17,0.13333,17.333,-27.066,-1.3162
18,0.14167,17.434,-27.082,-1.2903
19,0.15,17.504,-27.113,-1.2785
20,0.15833,17.559,-27.152,-1.3058
21,0.16667,17.594,-27.193,-1.2854
22,0.175,17.629,-27.222,-1.3189
23,0.18333,17.656,-27.254,-1.37
24,0.19167,17.665,-27.297,-1.4197
25,0.2,17.682,-27.331,-1.4747
26,0.20833,17.681,-27.383,-1.5463
27,0.21667,17.689,-27.415,-1.6088
28,0.225,17.687,-27.444,-1.6755
29,0.23333,17.689,-27.471,-1.7587
30,0.24167,17.68,-27.504,-1.8492
31,0.25,17.662,-27.544,-1.9029
32,0.25833,17.647,-27.573,-1.97
33,0.26667,17.635,-27.601,-2.0092
34,0.275,17.619,-27.626,-2.0516
35,0.28333,17.603,-27.653,-2.0961
36,0.29167,17.574,-27.695,-2.128
37,0.3,17.543,-27.738,-2.1559
38,0.30833,17.517,-27.774,-2.1772
39,0.31667,17.488,-27.815,-2.2012
40,0.325,17.466,-27.85,-2.2215
41,0.33333,17.446,-27.88,-2.2306
42,0.34167,17.419,-27.918,-2.2382
43,0.35,17.397,-27.951,-2.2483
44,0.35833,17.377,-27.98,-2.2539
45,0.36667,17.353,-28.013,-2.2563
46,0.375,17.331,-28.043,-2.2587
47,0.38333,17.308,-28.073,-2.2583
50,0.40833,17.245,-28.133,-2.2703
51,0.41667,17.206,-28.167,-2.2837
52,0.425,17.153,-28.207,-2.2976
53,0.43333,17.082,-28.252,-2.312
54,0.44167,17.007,-28.29,-2.3333
55,0.45,16.92,-28.33,-2.3529
58,0.475,16.633,-28.426,-2.3915
59,0.48333,16.537,-28.451,-2.4025
60,0.49167,16.454,-28.468,-2.4164
61,0.5,16.39,-28.477,-2.432
63,0.51667,16.306,-28.482,-2.4625
64,0.525,16.283,-28.475,-2.4671
65,0.53333,16.283,-28.454,-2.4626
66,0.54167,16.306,-28.434,-2.4777
67,0.55,16.345,-28.402,-2.4687
68,0.55833,16.396,-28.373,-2.4581
69,0.56667,16.459,-28.345,-2.4189
70,0.575,16.539,-28.309,-2.4007
71,0.58333,16.624,-28.28,-2.3927
72,0.59167,16.72,-28.256,-2.3553
73,0.6,16.814,-28.239,-2.3312
74,0.60833,16.925,-28.216,-2.2996
75,0.61667,17.034,-28.2,-2.2816
76,0.625,17.139,-28.189,-2.2481
77,0.63333,17.244,-28.183,-2.2272
78,0.64167,17.345,-28.175,-2.1953
79,0.65,17.429,-28.177,-2.1707
80,0.65833,17.505,-28.181,-2.1466
81,0.66667,17.576,-28.187,-2.1291
82,0.675,17.633,-28.202,-2.1205
83,0.68333,17.687,-28.213,-2.1049
84,0.69167,17.731,-28.226,-2.0953
85,0.7,17.773,-28.234,-2.0846
86,0.70833,17.804,-28.251,-2.0846
